,Short,Full,HTTP,Free float [%]
0,06MAGNA,Magna Polonia S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=06MAGNA,0
1,08OCTAVA,Narodowy Fundusz Inwestycyjny Octava SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=08OCTAVA,0
2,11BIT,11 bit studios SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=11BIT,0
3,3RGAMES,3R Games SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=3RGAMES,0
4,4FUNMEDIA,4fun Media SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=4FUNMEDIA,0
5,ABPL,AB SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ABPL,0
6,ACAUTOGAZ,AC SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ACAUTOGAZ,0
7,ACTION,ACTION SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ACTION,0
8,ADIUVO,Adiuvo Investment S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ADIUVO,0
9,AGORA,Agora SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AGORA,0
10,AGROTON,Agroton PLC,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AGROTON,0
11,AIGAMES,All In Games,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AIGAMES,0
12,AILLERON,Ailleron SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AILLERON,0
13,AIRWAY,Airway Medix S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AIRWAY,0
14,ALIOR,Alior Bank SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALIOR,0
15,ALLEGRO,Allegro.eu SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALLEGRO,0
16,ALTA,Alta S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALTA,0
17,ALTUSTFI,Altus TFI S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALTUSTFI,0
18,ALUMETAL,Alumetal S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALUMETAL,0
19,AMBRA,AMBRA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMBRA,0
20,AMICA,Amica Wronki SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMICA,0
21,AMPLI,AMPLI SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMPLI,0
22,AMREST,AmRest Holdings SE,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMREST,0
23,ANSWEAR,ANSWEAR.COM SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ANSWEAR,0
24,APATOR,APATOR SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=APATOR,0
25,APLISENS,Aplisens SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=APLISENS,0
26,APSENERGY,APS Energia S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=APSENERGY,0
27,ARCHICOM,Archicom S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARCHICOM,0
28,ARCTIC,Arctic Paper SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARCTIC,0
29,ARCUS,Arcus SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARCUS,0
30,ARTERIA,Arteria SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARTERIA,0
31,ARTIFEX,Artifex Mundi SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARTIFEX,0
32,ASBIS,ASBISc Enterprises PLC,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASBIS,0
33,ASMGROUP,ASM Group SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASMGROUP,0
34,ASSECOBS,Asseco Business Solutions SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASSECOBS,0
35,ASSECOPOL,Asseco Poland SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASSECOPOL,0
36,ASSECOSEE,Asseco South Eastern Europe SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASSECOSEE,0
37,ASTARTA,Astarta Holding NV,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASTARTA,0
38,ATAL,Atal S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATAL,0
39,ATENDE,Atende SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATENDE,0
40,ATLANTAPL,Atlanta Poland SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATLANTAPL,0
41,ATLANTIS,Atlantis SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATLANTIS,0
42,ATLASEST,Atlas Estates LTD,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATLASEST,0
43,ATM,ATM SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATM,0
44,ATMGRUPA,ATM Grupa SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATMGRUPA,0
45,ATREM,Atrem SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATREM,0
46,AUGA,Auga Group AB,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AUGA,0
47,AUTOPARTN,Auto Partner SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AUTOPARTN,0
48,AWBUD,AWBUD SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AWBUD,0
49,BAHOLDING,British Automotive Holding,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BAHOLDING,0
50,BALTONA,Przedsiębiorstwo Handlu Zagranicznego Baltona SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BALTONA,0
51,BBIDEV,BBI Development S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BBIDEV,0
52,BEDZIN,Elektrociepłownia Będzin SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BEDZIN,0
53,BENEFIT,Benefit Systems SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BENEFIT,0
54,BERLING,Berling SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BERLING,0
55,BEST,BEST SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BEST,0
56,BETACOM,Betacom SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BETACOM,0
57,BIK,Biuro Inwestycji Kapitałowych SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BIK,0
58,BIOMEDLUB,BIOMED-LUBLIN Wytwórnia Surowic i Szczepionek SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BIOMEDLUB,0
59,BIOTON,BIOTON SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BIOTON,0
60,BNPPPL,BNP Paribas Bank Polska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BNPPPL,0
61,BOGDANKA,Lubelski Węgiel SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOGDANKA,0
62,BOOMBIT,BoomBit SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOOMBIT,0
63,BORYSZEW,Boryszew SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BORYSZEW,0
64,BOS,Bank Ochrony Środowiska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOS,0
65,BOWIM,Bowim SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOWIM,0
66,BRAND24,Brand24,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BRAND24,0
67,BRASTER,Braster S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BRASTER,0
68,BSCDRUK,BSC Drukarnia Opakowań SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BSCDRUK,0
69,BUDIMEX,Budimex SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BUDIMEX,0
70,BUMECH,Bumech SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BUMECH,0
